Frame,Time,FaceDetected,LeftIrisX,LeftIrisY,RightIrisX,RightIrisY,EAR,Blink,TotalBlinks,Yaw,Pitch,Roll,HorizontalGaze,VerticalGaze,OnScreen,HorizontalRatio,VerticalRatio,AttentionState
102,4.123,True,658.0,459.0,776.0,474.0,0.1779,False,3,2.1253022732801656,-66.44581295759443,6.888829590775909,Closed,Closed,False,0.576,0.742,Eyes Closed
103,4.163,True,651.0,450.0,768.0,465.0,0.1689,False,3,0.30988676749338046,-63.977358473923715,7.020665547226381,Closed,Closed,False,0.58,0.72,Eyes Closed
104,4.204,True,650.0,438.0,766.0,450.0,0.1736,False,3,0.4126740460247944,-61.70828938602935,6.282987099493194,Closed,Closed,False,0.538,0.682,Eyes Closed
105,4.244,True,650.0,422.0,766.0,431.0,0.1906,False,3,-6.459008249501768,-42.42561188894518,-175.45991096953867,Closed,Closed,False,0.512,0.656,Looking Closed
106,4.285,True,651.0,396.0,770.0,401.0,0.1875,False,3,-5.77117402551675,-40.47307162573369,-176.0135301371293,Closed,Closed,False,0.546,0.73,Looking Closed
107,4.325,True,646.0,364.0,788.0,365.0,0.2745,False,3,-6.116642878552431,-38.30748354763482,-176.7795378317436,Center,Up,False,0.481,0.4,Looking Up
108,4.366,True,648.0,351.0,790.0,355.0,0.309,False,3,-6.106802332242752,-36.507426707426255,-177.33233305715444,Center,Up,False,0.463,0.415,Looking Up
109,4.406,True,652.0,346.0,792.0,348.0,0.3185,False,3,-5.244127080942046,-35.4282711561012,-177.94646506403353,Center,Up,False,0.463,0.436,Looking Up
110,4.446,True,654.0,341.0,794.0,344.0,0.3092,False,3,2.6756024128991593,-43.843375062305974,2.2826905067864587,Center,Up,False,0.456,0.458,Looking Up
111,4.487,True,655.0,337.0,797.0,340.0,0.3038,False,3,-4.962767536891259,-33.956619019365334,-177.8713309783211,Center,Up,False,0.449,0.446,Looking Up
112,4.527,True,658.0,334.0,799.0,337.0,0.3044,False,3,-4.30702559159016,-33.61746848958868,-177.84843264127727,Center,Up,False,0.448,0.425,Looking Up
113,4.568,True,661.0,331.0,802.0,334.0,0.3043,False,3,3.9613627357528696,-40.75625602579682,2.2031570593607803,Center,Up,False,0.467,0.457,Looking Up
114,4.608,True,664.0,327.0,804.0,332.0,0.3033,False,3,4.3165488449337825,-39.76764076497339,2.4742441470667904,Center,Up,False,0.466,0.453,Looking Up
115,4.649,True,667.0,325.0,807.0,329.0,0.3002,False,3,4.763637092305806,-39.65343581248657,2.4686101494207144,Center,Up,False,0.473,0.462,Looking Up
116,4.689,True,670.0,323.0,809.0,328.0,0.2943,False,3,-4.339390496419117,-32.087514286878545,-177.22282157433267,Center,Up,False,0.478,0.458,Looking Up
117,4.729,True,673.0,322.0,811.0,327.0,0.2917,False,3,-4.0099570767986625,-31.366570212148087,-177.36101897752454,Center,Up,False,0.477,0.463,Looking Up
118,4.77,True,674.0,321.0,813.0,326.0,0.2895,False,3,5.502541846711062,-35.86446455186016,2.82021546099072,Center,Up,False,0.468,0.458,Looking Up
119,4.81,True,676.0,320.0,815.0,325.0,0.2862,False,3,-4.078662738833428,-31.476375456072827,-176.73224425331256,Center,Up,False,0.48,0.481,Looking Up
120,4.851,True,677.0,319.0,816.0,325.0,0.2951,False,3,-4.607028250653507,-30.561968241097556,-176.47868873737264,Center,Up,False,0.481,0.482,Looking Up
121,4.891,True,678.0,318.0,817.0,324.0,0.3028,False,3,-4.241854646303267,-29.867637079260245,-176.3878386917244,Center,Up,False,0.483,0.482,Looking Up
122,4.931,True,679.0,317.0,817.0,324.0,0.2868,False,3,-4.346577054454565,-29.474046945994548,-176.07453725451504,Center,Up,False,0.485,0.47,Looking Up
123,4.972,True,678.0,316.0,817.0,324.0,0.2924,False,3,5.01261654239704,-33.02787262967444,3.8516961116188924,Center,Up,False,0.475,0.468,Looking Up
124,5.012,True,678.0,316.0,817.0,323.0,0.29,False,3,-4.678743669208268,-29.39185863422206,-175.85747289210775,Center,Up,False,0.467,0.459,Looking Up
125,5.053,True,678.0,315.0,817.0,322.0,0.2982,False,3,-4.573813103577343,-29.165123169376212,-175.8642624464969,Center,Up,False,0.483,0.496,Looking Up
126,5.093,True,677.0,313.0,816.0,321.0,0.2924,False,3,-4.6385487243834005,-29.070808666927903,-176.06092708045352,Center,Up,False,0.466,0.452,Looking Up
127,5.134,True,674.0,312.0,814.0,320.0,0.2933,False,3,-4.812505976094866,-28.81477769913583,-176.10264489966025,Center,Up,False,0.441,0.427,Looking Up
128,5.174,True,673.0,311.0,813.0,318.0,0.2914,False,3,-4.710487289161669,-28.23922311387054,-176.12201141687822,Center,Up,False,0.445,0.416,Looking Up
129,5.214,True,671.0,311.0,811.0,317.0,0.2925,False,3,4.498925195317469,-30.00754674798294,3.8101823570956,Center,Up,False,0.441,0.406,Looking Up
130,5.255,True,669.0,310.0,809.0,316.0,0.2965,False,3,-4.514750168701144,-28.482531017798983,-176.30762219932066,Center,Up,False,0.459,0.439,Looking Up
131,5.295,True,667.0,310.0,806.0,316.0,0.2903,False,3,-4.877057596318449,-27.86025526238376,-176.2800269595844,Center,Up,False,0.466,0.454,Looking Up
132,5.336,True,665.0,310.0,804.0,316.0,0.2901,False,3,-5.015415912468664,-27.934248818947893,-176.32206406214354,Center,Up,False,0.468,0.449,Looking Up
133,5.376,True,662.0,310.0,801.0,315.0,0.2938,False,3,-5.22438811935915,-26.91097436553672,-176.4996874614965,Center,Up,False,0.477,0.474,Looking Up
134,5.417,True,660.0,310.0,799.0,314.0,0.287,False,3,-5.181733883375055,-27.086200152648594,-176.6861128711462,Center,Up,False,0.472,0.48,Looking Up
135,5.457,True,658.0,310.0,796.0,313.0,0.2804,False,3,-5.867601429253005,-25.868630738794916,-176.8428919620839,Center,Up,False,0.473,0.485,Looking Up
136,5.497,True,656.0,310.0,793.0,312.0,0.2762,False,3,-5.92315682815445,-24.7690669282849,-176.94780814824216,Center,Up,False,0.474,0.487,Looking Up
137,5.538,True,653.0,309.0,790.0,312.0,0.2796,False,3,-6.171478051129666,-25.30296923038719,-177.06296349147456,Center,Up,False,0.479,0.505,Looking Up
138,5.578,True,652.0,309.0,788.0,311.0,0.2748,False,3,-6.304054910847262,-25.13719866744385,-177.03976849947205,Center,Up,False,0.475,0.477,Looking Up
139,5.619,True,650.0,309.0,786.0,311.0,0.2729,False,3,-6.370969910093665,-25.27654772773681,-177.13378632298716,Center,Up,False,0.476,0.493,Looking Up
140,5.659,True,648.0,309.0,784.0,310.0,0.2824,False,3,-6.560631372040917,-25.292998597911783,-176.9989212788244,Center,Up,False,0.467,0.462,Looking Up
141,5.699,True,647.0,309.0,783.0,309.0,0.2802,False,3,-6.690733449413584,-24.2644295320562,-177.11239377239846,Center,Up,False,0.47,0.464,Looking Up
142,5.74,True,646.0,308.0,781.0,308.0,0.2881,False,3,-7.258223680829779,-23.48787863164806,-177.36889468710683,Center,Up,False,0.468,0.465,Looking Up
143,5.78,True,645.0,307.0,780.0,307.0,0.2857,False,3,-7.427674434350364,-22.82755600949154,-177.17012479696257,Center,Up,False,0.466,0.457,Looking Up
144,5.821,True,643.0,306.0,778.0,306.0,0.2918,False,3,-7.605774647840811,-22.804041552245913,-177.1633400359532,Center,Up,False,0.457,0.46,Looking Up
145,5.861,True,643.0,306.0,777.0,305.0,0.2934,False,3,-8.159369668752701,-22.165781302867753,-177.0550763681975,Center,Up,False,0.46,0.464,Looking Up
